,FIPS,INTPTLONG,INTPTLAT,RPL_THEMES
235,40143006506,-96.0866318,36.1144741,0.2241
236,40083600400,-97.4719835,35.7900049,0.2251
237,40143007620,-95.9136432,36.0533576,0.2261
238,40071000300,-97.0407327,36.7164123,0.227
239,40109108513,-97.6334481,35.5724918,0.228
240,40131050501,-95.4945008,36.183923,0.2289
241,40027201507,-97.4989397,35.2256926,0.2299
242,40027201602,-97.508609,35.3413324,0.2308
243,40143007512,-95.8063354,36.0101639,0.2318
244,40027201102,-97.4584988,35.195835,0.2328
245,40143006600,-96.0323202,36.1148468,0.2337
246,40143003900,-95.9313906,36.1260534,0.2347
247,40047001300,-97.9193008,36.4225618,0.2356
248,40017300905,-97.7122562,35.4998826,0.2366
249,40027201902,-97.5421514,35.3719566,0.2375
250,40143007507,-95.8064066,36.0246806,0.2385
251,40109108220,-97.5040881,35.6754736,0.2395
252,40109107500,-97.3940441,35.4185235,0.2404
253,40027200800,-97.4198148,35.2347593,0.2414
254,40047001602,-97.9709754,36.3513154,0.2423
255,40143005001,-95.9826906,36.097022,0.2433
256,40017301006,-97.6919937,35.4561719,0.2443
257,40145030405,-95.7419878,36.1120515,0.2452
258,40027201802,-97.5391124,35.3593382,0.2462
259,40037020702,-96.4592895,35.9082429,0.2471
260,40109107403,-97.4129313,35.3909235,0.2481
261,40065968100,-99.2394809,34.6134267,0.249
262,40017301009,-97.7337507,35.435156,0.25
263,40109106602,-97.5938892,35.5171128,0.251
264,40143007415,-95.8063832,36.0536804,0.2519
265,40037020707,-96.2137441,36.037773,0.2529
266,40113940004,-96.1948828,36.8312954,0.2538
267,40137000800,-97.8929295,34.5760713,0.2548
268,40027202404,-97.3102219,35.0888099,0.2557
269,40109101100,-97.5254672,35.4968867,0.2567
270,40143006903,-95.8954364,36.0826383,0.2577
271,40027200602,-97.430918,35.2120142,0.2586
272,40119011101,-96.9169249,36.1530099,0.2596
273,40031002404,-98.4051883,34.6728759,0.2605
274,40109108802,-97.2699415,35.4849831,0.2615
275,40049681600,-97.3968549,34.7937407,0.2625
276,40143006705,-96.0014698,36.0536814,0.2634
277,40109102000,-97.5566859,35.4895737,0.2644
278,40109108530,-97.6473523,35.58736,0.2653
279,40149964900,-99.1870567,35.3960693,0.2663
280,40143001900,-95.9358893,36.1542837,0.2672
281,40111000500,-96.0327158,35.647263,0.2682
282,40109108009,-97.3619781,35.4712841,0.2692
283,40109106000,-97.4450794,35.524014,0.2701
284,40143007701,-96.0063264,35.9723335,0.2711
285,40027201603,-97.4988324,35.3411811,0.272
286,40031002403,-98.3226148,34.7019859,0.273
287,40143008400,-95.8956112,36.1261856,0.2739
288,40083600500,-97.3877095,35.8831084,0.2749
289,40063484700,-96.2763057,35.0760107,0.2759
290,40145030512,-95.6620342,36.0188707,0.2768
291,40109108601,-97.6442404,35.4455765,0.2778
292,40109109004,-97.2036858,35.5284624,0.2787
293,40031002200,-98.5896427,34.7852457,0.2797
294,40145030406,-95.7428411,36.0962925,0.2807
295,40027201609,-97.5524646,35.3255738,0.2816
296,40109108303,-97.4752727,35.6118827,0.2826
297,40073958200,-98.023213,35.9202199,0.2835
298,40085094300,-97.4040998,33.9699224,0.2845
299,40099790600,-97.0188064,34.405377,0.2854
300,40149965000,-99.1925716,35.196909,0.2854
301,40121486600,-95.9164294,34.8375538,0.2874
302,40143007506,-95.776574,36.0295345,0.2883
303,40031000900,-98.4060899,34.6196448,0.2893
304,40087400201,-97.4770506,34.9060586,0.2902
305,40143009401,-96.1649323,36.1176917,0.2912
306,40131050802,-95.7069187,36.5280935,0.2921
307,40059952200,-99.8462145,36.7679627,0.2931
308,40053956500,-97.7412995,36.8324254,0.2941
309,40153953200,-99.3820879,36.3419148,0.295
310,40031001901,-98.3762806,34.6302646,0.296
311,40103956600,-97.0967115,36.447873,0.2969
312,40027202007,-97.443505,35.364455,0.2979
313,40109108201,-97.4725568,35.6454795,0.2979
314,40131050601,-95.6525416,36.2623078,0.2998
315,40087400202,-97.5015936,35.0624048,0.3008
316,40049681800,-97.6206346,34.8390306,0.3017
317,40125501003,-97.0980317,35.311412,0.3027
318,40049681700,-97.569834,34.7695095,0.3036
319,40109102100,-97.5745213,35.4896001,0.3046
320,40019892200,-97.5074816,34.3720745,0.3056
321,40131050302,-95.4818555,36.4293195,0.3065
322,40109108527,-97.6296115,35.598258,0.3075
323,40027202500,-97.378139,35.1249411,0.3084
324,40131050407,-95.785812,36.1963142,0.3094
325,40143007411,-95.8597407,36.0536354,0.3103
326,40121485600,-95.5063052,35.2130287,0.3113
327,40143007412,-95.8420567,36.0536254,0.3123
328,40109107808,-97.4328944,35.4318331,0.3132
329,40147000800,-95.9723485,36.7304002,0.3142
330,40109106200,-97.5071443,35.5445186,0.3151
331,40047001601,-98.0105896,36.4271325,0.3161
332,40031002004,-98.3093233,34.5718143,0.317
333,40147001000,-95.9067578,36.9282726,0.318
334,40109101200,-97.5168565,35.49682,0.319
335,40109108707,-97.3355235,35.4426028,0.3199
336,40109108113,-97.4426105,35.645456,0.3209
337,40019892400,-97.4137339,34.1484016,0.3218
338,40109104000,-97.518814,35.4527354,0.3228
339,40143007510,-95.8064071,36.0391744,0.3238
340,40051000700,-97.8407082,34.8411881,0.3247
341,40109107607,-97.3619911,35.4424054,0.3257
342,40109106911,-97.6620508,35.4851182,0.3266
343,40011958700,-98.5642231,36.0511088,0.3276
344,40093955100,-98.273631,36.3547013,0.3285
345,40003955600,-98.2983545,36.8508289,0.3295
346,40035373200,-95.2965802,36.6783519,0.3305
347,40113940007,-96.1932225,36.2208182,0.3314
348,40121486000,-95.6796848,34.9600368,0.3324
349,40037021500,-96.0848693,35.9117236,0.3333
350,40143009402,-96.1426004,36.0893155,0.3343
351,40091779600,-95.4741887,35.4738554,0.3352
352,40117957200,-96.3674055,36.2066305,0.3362
353,40119010300,-97.0890953,36.1219047,0.3372
354,40125500900,-96.7934653,35.3986276,0.3381
355,40037021400,-96.068056,36.0126243,0.3391
356,40081961300,-97.0437265,35.6737667,0.34
357,40143007702,-95.9849229,35.9084817,0.341
358,40109106303,-97.5364171,35.5611048,0.342
359,40143007522,-95.8063078,35.9956121,0.3429
360,40143007414,-95.8063717,36.0681855,0.3439
361,40039961000,-99.0592457,35.6899696,0.3448
362,40037020900,-96.4137409,35.8776822,0.3458
363,40143009003,-95.8086324,36.0796583,0.3467
364,40131050105,-95.6494958,36.3085543,0.3477
365,40147000600,-95.9168863,36.7205462,0.3487
366,40065968400,-99.3558652,34.674353,0.3496
367,40143005002,-95.9669857,36.0968998,0.3506
368,40145030202,-95.3151958,35.8809027,0.3515
369,40143007503,-95.7885462,36.0393014,0.3525
370,40027201903,-97.5711099,35.3691351,0.3534
371,40037021101,-96.4242742,35.6991702,0.3544
372,40131050408,-95.738986,36.213552,0.3554
373,40081961600,-96.8149514,35.6716485,0.3563
374,40109100700,-97.5254133,35.5041484,0.3573
375,40145030506,-95.7408843,36.0778162,0.3582
376,40027202402,-97.2040305,35.225416,0.3592
377,40075963600,-98.7714119,35.0077596,0.3602
378,40027202006,-97.5261582,35.3697133,0.3611
379,40097040800,-95.2828769,36.4165333,0.3621
380,40031002100,-98.1912549,34.7642891,0.363
381,40109101500,-97.5032496,35.4878023,0.364
382,40105172300,-95.7900172,36.7560915,0.3649
383,40133583200,-96.6446876,35.322805,0.3659
384,40091780100,-95.6971127,35.305992,0.3669
385,40123089300,-96.6777192,34.7609579,0.3678
386,40009966500,-99.8748282,35.2276245,0.3688
387,40137000101,-97.9890592,34.5290945,0.3697
388,40077087100,-95.1235053,34.9755988,0.3707
389,40019892700,-97.0312776,34.1357112,0.3716
390,40027200100,-97.4436013,35.2207954,0.3726
391,40013796001,-96.4883898,34.0526195,0.3736
392,40127097800,-95.3298591,34.3451317,0.3745
393,40109107706,-97.3960441,35.4601555,0.3755
394,40147000400,-95.9351477,36.7615463,0.3764
395,40109108521,-97.6450283,35.5560288,0.3774
396,40143008700,-95.9492474,36.0832713,0.3784
397,40037021600,-96.080925,35.983237,0.3793
398,40137001100,-97.9040139,34.3572512,0.3803
399,40017300100,-98.2099543,35.5431777,0.3812
400,40015162000,-98.2253305,35.129864,0.3822
401,40109108602,-97.6101299,35.4357439,0.3831
402,40143001800,-95.92697,36.1542718,0.3841
403,40027201301,-97.4146684,35.1994536,0.3851
404,40027201101,-97.4628236,35.1849781,0.386
405,40041375801,-94.9622072,36.5899693,0.387
406,40047000200,-97.8649102,36.430268,0.3879
407,40109102300,-97.5566417,35.4822928,0.3889
408,40143007409,-95.837671,36.0675138,0.3898
409,40037020101,-96.0532795,36.05548,0.3908
410,40109100200,-97.5546474,35.5039838,0.3918
411,40151954300,-98.6524383,36.7854943,0.3927
412,40031002001,-98.3260078,34.6195474,0.3937
