Budget :,0.0,Tornado Length:,25.0
Best Bound:,15974
Best Objective:,15974
Gap:,0.0
CCG Run time:,1570.33
CCG Iteration:,2
Subproblem Run time:,1570.01
Number of Subproblem Callbacks:,48
Subproblem Callbacks Run Time:,8.06
Number of Uncertainty Set Check Call:,0
Uncertainty Set Check Run Time:,0
Head of worst tornado:,-94.575,37.057
Tail of worst tornado:,-94.426,37.094

Block ID,coordinate_x,coordinate_y,Population,Retrofitting,Retrofitting Cost,Damaged?,Recover,Recovery Cost,Dislocation
113,-94.442,37.064,123,Do_nothing,0,NO,0,0,0,
121,-94.442,37.042,2,Do_nothing,0,NO,0,0,0,
7,-94.441,37.068,389,Do_nothing,0,NO,0,0,0,
23,-94.441,37.098,23,Do_nothing,0,NO,0,0,0,
184,-94.438,37.056,52,Do_nothing,0,NO,0,0,0,
132,-94.436,37.063,39,Do_nothing,0,NO,0,0,0,
195,-94.436,37.068,218,Do_nothing,0,NO,0,0,0,
118,-94.432,37.098,68,Do_nothing,0,YES,0.0,0,67,
27,-94.431,37.054,31,Do_nothing,0,NO,0,0,0,
73,-94.424,37.112,6,Do_nothing,0,NO,0,0,0,
102,-94.422,37.061,17,Do_nothing,0,NO,0,0,0,
38,-94.411,37.068,10,Do_nothing,0,NO,0,0,0,
